State,Wind,Solar Photovoltaic,Solar Thermal,Conventional Hydroelectric,Biomass Sources,Geothermal
Connecticut,5.0,286.4,0.0,119.2,139.6,0.0
Maine,1029.5,420.6,0.0,725.8,488.6,0.0
Massachusetts,101.8,1334.5,0.0,267.2,273.1,0.0
New Hampshire,211.9,2.4,0.0,504.0,225.8,0.0
Rhode Island,77.3,292.9,0.0,2.7,40.1,0.0
Vermont,150.2,141.2,0.0,332.2,81.8,0.0
New Jersey,7.6,1139.3,0.0,12.3,188.7,0.0
New York,2527.0,1616.4,0.0,4560.8,455.3,0.0
Pennsylvania,1552.6,235.3,0.0,929.5,431.4,0.0
Illinois,7494.9,941.4,0.0,32.9,55.2,0.0
Indiana,3439.1,1283.1,0.0,71.6,49.7,0.0
Michigan,3577.1,727.5,0.0,263.8,490.4,0.0
Ohio,1097.3,1050.2,0.0,101.9,77.8,0.0
Wisconsin,826.2,828.7,0.0,410.0,331.6,0.0
Iowa,12603.8,262.0,0.0,209.4,20.6,0.0
Kansas,8238.1,38.8,0.0,7.0,9.0,0.0
Minnesota,4928.7,1233.0,0.0,212.0,316.6,0.0
Missouri,2374.9,100.8,0.0,548.5,14.0,0.0
Nebraska,3518.3,40.6,0.0,279.7,15.5,0.0
North Dakota,4320.1,0.0,0.0,510.0,9.8,0.0
South Dakota,2767.2,81.0,0.0,1598.0,5.4,0.0
Delaware,2.0,89.4,0.0,0.0,14.2,0.0
District of Columbia,0.0,19.6,0.0,0.0,12.0,0.0
Florida,0.0,7565.3,0.0,43.5,1001.6,0.0
Georgia,0.0,3880.1,0.0,1985.0,1067.1,0.0
Maryland,190.0,571.1,0.0,514.9,139.9,0.0
North Carolina,208.0,6304.4,0.0,2010.5,381.1,0.0
South Carolina,0.0,1502.5,0.0,1294.0,465.7,0.0
Virginia,12.0,3142.0,0.0,866.6,802.2,0.0
West Virginia,855.2,0.0,0.0,340.8,3.2,0.0
Alabama,0.0,601.1,0.0,3291.8,624.9,0.0
Kentucky,0.0,79.8,0.0,1137.4,70.5,0.0
Mississippi,0.0,320.8,0.0,0.0,302.4,0.0
Tennessee,29.1,539.7,0.0,2608.6,144.9,0.0
Arkansas,0.0,363.0,0.0,1265.2,223.8,0.0
Louisiana,0.0,144.5,0.0,192.0,422.1,0.0
Oklahoma,12145.7,47.5,0.0,840.6,76.2,0.0
Texas,39909.4,12308.3,0.0,715.2,362.7,0.0
Arizona,855.5,2782.9,295.6,2721.9,27.9,0.0
Colorado,5137.7,1891.1,0.0,689.7,28.7,0.0
Idaho,968.3,402.0,0.0,2630.8,84.4,10.0
Montana,1478.9,177.0,0.0,2820.9,4.6,0.0
Nevada,150.0,3642.3,178.5,1051.7,9.8,659.0
New Mexico,4409.0,1131.9,0.0,82.7,3.2,8.6
Utah,389.7,1627.7,0.1,259.7,16.0,70.7
Wyoming,3000.3,92.0,0.0,307.1,0.0,0.0
California,6188.9,17780.0,1005.8,10225.9,1116.6,1885.0
Oregon,3976.5,955.7,0.0,8363.2,294.9,19.5
Washington,3374.9,188.3,0.0,21511.9,330.2,0.0
Alaska,59.0,7.7,0.0,474.4,7.0,0.0
Hawaii,233.2,392.2,0.0,32.4,153.9,43.0
U.S. Total,144421.9,80606.0,1480.0,79976.9,11911.7,2695.8
